prompt_family,episode_id,chunk_index,num_seeds,original_margin_mean,flipped_margin_mean,margin_delta_mean,margin_delta_sd,same_sign_rate
color,2026_08_18_00_55_01_843645_L3_left_C1,5,10,-0.025865459442138673,-0.03458556085824967,-0.008720101416110992,0.007894667306751276,1.0
color,2026_08_18_00_55_01_843645_L3_left_C1,6,10,0.052682739496231076,-0.06205577701330185,-0.11473851650953293,0.022030054464413813,0.0
color,2026_08_18_00_55_01_843645_L3_left_C1,7,10,0.05475012809038162,0.0488155260682106,-0.005934602022171021,0.007347165695987777,1.0
color,2026_08_18_00_55_01_843645_L3_left_C1,8,10,0.04818561300635338,0.06417441964149476,0.01598880663514137,0.013085241420107939,1.0
color,2026_08_18_00_55_32_860317_L3_left_C2,0,10,0.009259739518165588,0.07394009232521057,0.06468035280704498,0.02593520558517155,0.5
color,2026_08_18_00_55_32_860317_L3_left_C2,1,10,-0.040684188902378085,-0.027639782428741454,0.013044406473636628,0.01879986680781708,0.9
color,2026_08_18_00_55_32_860317_L3_left_C2,2,10,0.01961096078157425,0.04293432384729386,0.023323363065719603,0.005676311615998673,1.0
color,2026_08_18_00_55_32_860317_L3_left_C2,3,10,0.03898617178201676,0.03820766806602478,-0.0007785037159919739,0.017239668662277913,1.0
color,2026_08_18_00_55_32_860317_L3_left_C2,4,10,-0.06021069884300232,0.0045291662216186525,0.06473986506462097,0.02086784598565974,0.3
color,2026_08_18_00_55_32_860317_L3_left_C2,5,10,0.006322202086448669,0.008542138338088989,0.0022199362516403197,0.005739874524737452,0.9
color,2026_08_18_00_55_32_860317_L3_left_C2,6,10,-0.02098374366760254,-0.023815464228391647,-0.002831720560789108,0.004266686111452488,1.0
color,2026_08_18_00_55_32_860317_L3_left_C2,7,10,0.006221710145473481,-0.006443332135677338,-0.012665042281150818,0.008793059738532647,0.2
color,2026_08_18_00_55_32_860317_L3_left_C2,8,10,0.028303065896034242,-0.01653543710708618,-0.04483850300312042,0.0041955770647176234,0.0
color,2026_08_18_00_55_32_860317_L3_left_C2,9,10,0.07240388542413712,0.06529590785503388,-0.007107977569103241,0.009274908399386751,1.0
color,2026_08_18_00_55_32_860317_L3_left_C2,10,10,0.0012448355555534363,0.018032021820545197,0.01678718626499176,0.007026917502166686,0.9
color,2026_08_18_00_56_19_492037_L3_right_C0,0,10,-0.004279784858226776,-0.03601557165384293,-0.03173578679561615,0.03766449088009191,0.5
color,2026_08_18_00_56_19_492037_L3_right_C0,1,10,0.03575403541326523,0.1049903005361557,0.06923626512289047,0.030749046985602806,1.0
color,2026_08_18_00_56_19_492037_L3_right_C0,2,10,0.06374573260545731,0.16870277673006057,0.10495704412460327,0.02064179279492963,1.0
color,2026_08_18_00_56_19_492037_L3_right_C0,3,10,0.035915763676166536,0.15819087922573088,0.12227511554956436,0.020188651719546237,1.0
color,2026_08_18_00_56_19_492037_L3_right_C0,4,10,0.01471213549375534,0.023561452329158784,0.008849316835403442,0.009726833262342053,1.0
color,2026_08_18_00_56_19_492037_L3_right_C0,5,10,0.009162898361682891,0.02053418308496475,0.01137128472328186,0.006520565089640996,1.0
color,2026_08_18_00_56_19_492037_L3_right_C0,6,10,0.07072024047374725,0.04456679224967956,-0.026153448224067687,0.016764326547688183,1.0
color,2026_08_18_00_56_19_492037_L3_right_C0,7,10,0.05076584294438362,0.0008130364120006561,-0.049952806532382966,0.016681605376592166,0.5
color,2026_08_18_00_56_48_148319_L3_right_C1,0,10,0.01019536256790161,-0.058679884672164916,-0.06887524724006652,0.023972842024915772,0.3
color,2026_08_18_00_56_48_148319_L3_right_C1,1,10,-0.0013083070516586304,0.06916519552469254,0.07047350257635117,0.025280195664001658,0.6
color,2026_08_18_00_56_48_148319_L3_right_C1,2,10,-0.003881479799747467,0.054572440683841705,0.058453920483589175,0.013561197182239436,0.6
color,2026_08_18_00_56_48_148319_L3_right_C1,3,10,0.03368080705404282,0.10018153488636017,0.06650072783231735,0.01781931417977414,1.0
color,2026_08_18_00_56_48_148319_L3_right_C1,4,10,-0.007090148329734802,0.03493192344903946,0.04202207177877426,0.009732398678647183,0.1
color,2026_08_18_00_56_48_148319_L3_right_C1,5,10,0.06391200050711632,0.04293984472751618,-0.020972155779600144,0.006727342688285623,1.0
color,2026_08_18_00_56_48_148319_L3_right_C1,6,10,0.10023539215326309,0.060343696177005766,-0.03989169597625732,0.008640229943574869,1.0
color,2026_08_18_00_56_48_148319_L3_right_C1,7,10,0.06266940012574196,0.05769593939185143,-0.004973460733890533,0.00457137716239333,1.0
color,2026_08_18_00_56_48_148319_L3_right_C1,8,10,0.07231412231922149,0.054810069501399994,-0.017504052817821504,0.004885724105956202,1.0
color,2026_08_18_00_57_15_980084_L3_right_C2,0,10,0.04531486928462982,-0.03111591041088104,-0.07643077969551086,0.024180219500981228,0.0
color,2026_08_18_00_57_15_980084_L3_right_C2,1,10,-0.018756403028964995,0.02305852770805359,0.041814930737018585,0.0184546676678664,0.5
color,2026_08_18_00_57_15_980084_L3_right_C2,2,10,0.013412748277187348,0.01564333736896515,0.0022305890917778013,0.007009701670399872,0.8
color,2026_08_18_00_57_15_980084_L3_right_C2,3,10,0.03590868860483169,0.004627278447151184,-0.03128141015768051,0.009217816363058262,0.9
color,2026_08_18_00_57_15_980084_L3_right_C2,4,10,0.025634600222110747,0.025444108247756957,-0.0001904919743537903,0.006968776500559448,1.0
