run,temperature,split,condition,episode_id,target_side,final_correct,raw_sign_early_auc,probability_early_auc,final_true_belief,final_cumulative_margin,prefix_nll
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:18:58_2026,right,0,0.05333333333333334,0.32487502443691485,0.3930339250538377,-0.013037309050559996,1.180561083994495
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:19:18_2026,left,1,0.9540229885057472,0.7518335615737516,0.9665649667714115,0.10092432796955109,0.2343384128896541
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:19:42_2026,right,0,0.04938271604938271,0.1340887488862624,0.020237770931121987,-0.11639277637004852,2.8138869643814104
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:20:01_2026,left,1,0.9452054794520548,0.8610427994843779,0.9593414647939494,0.09483114878336588,0.09001999746803697
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:20:39_2026,right,0,0.05714285714285714,0.1897031232724318,0.0838161251449958,-0.07174775004386902,2.276724835334401
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:21:05_2026,left,1,0.9420289855072463,0.6586044322698199,0.7382314101051421,0.031103894114494327,0.3667182881399268
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:21:56_2026,left,1,0.9365079365079365,0.8207694218557092,0.9866226757519789,0.12902179857095084,0.13136862692373757
pi05_droid_h16,0.03,train,train_natural,Sun_Aug__9_19:22:17_2026,right,0,0.05063291139240506,0.11587566642802398,0.01077918279235381,-0.13557902475198108,3.5429718800235896
pi05_droid_h16,0.1,test,C0_natural_direct,Sun_Aug__9_19:29:02_2026,left,1,0.7619047619047619,0.5288669407524101,0.5395529078653981,0.015854289134343467,0.6319266452872373
pi05_droid_h16,0.1,test,C0_natural_direct,Sun_Aug__9_19:29:23_2026,right,0,0.0449438202247191,0.3415492525429307,0.32663821564332435,-0.07234295705954234,1.1224922753347852
pi05_droid_h16,0.1,test,C1_mild_exaggeration,Sun_Aug__9_19:30:32_2026,left,1,0.9560439560439561,0.6271329857255199,0.605557253815886,0.042867511510848985,0.45623285521552065
pi05_droid_h16,0.1,test,C1_mild_exaggeration,Sun_Aug__9_19:31:21_2026,right,1,0.9591836734693878,0.5861671933020696,0.6017541750938925,0.041277954975763954,0.5184047071523898
pi05_droid_h16,0.1,test,C2_strong_exaggeration,Sun_Aug__9_19:33:31_2026,left,1,0.9534883720930233,0.8732289836043201,0.9677305619025836,0.3400833110014597,0.08401234458887645
pi05_droid_h16,0.1,test,C2_strong_exaggeration,Sun_Aug__9_19:33:54_2026,right,1,0.39285714285714285,0.4827266209612082,0.5617201054249957,0.02481459577878316,0.7236657570210586
pi05_droid_h16,0.1,test,C3_extreme_exaggeration,Sun_Aug__9_19:34:35_2026,right,1,0.9768786127167629,0.7170547201550692,0.753685006771163,0.11183633406956991,0.3182077911588898
pi05_droid_h16,0.1,test,C3_extreme_exaggeration,Sun_Aug__9_19:35:12_2026,left,1,0.9701492537313433,0.833276094502896,0.893619162041486,0.21282542248566946,0.1560113611438737
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:07:45_2026,left,1,0.2571428571428571,0.4934651079315042,0.5472833335962676,0.018970017631848655,0.6876189089650984
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:08:45_2026,right,0,0.06060606060606061,0.3699341890480333,0.2993197170211369,-0.08505394061406454,1.083321230626526
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:09:06_2026,left,1,0.948051948051948,0.6273342938932114,0.6333246341439401,0.05465062459309896,0.4469339839238464
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:09:27_2026,right,0,0.057971014492753624,0.37428653661201133,0.32559552544509096,-0.07281741499900816,1.0637339457129265
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:09:58_2026,right,1,0.9459459459459459,0.5107527742560504,0.517841640984525,0.007139687736829122,0.6663646708715815
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:10:16_2026,left,1,0.9393939393939394,0.6137000807641779,0.719737486957269,0.09431598335504532,0.4360694453077694
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:10:44_2026,right,0,0.057971014492753624,0.4111346674029191,0.34972437885992763,-0.06202509502569834,0.9511746308677406
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:11:06_2026,left,1,0.9473684210526316,0.716245094897967,0.7838646693789866,0.12883316477139792,0.29405715125527027
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:11:26_2026,left,1,0.9420289855072463,0.5802382492711656,0.5938529226321039,0.03799163301785787,0.5270471402980998
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:11:48_2026,right,0,0.046511627906976744,0.3840527553684482,0.4028051481823927,-0.039379050334294625,0.9786564845053191
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:12:15_2026,left,1,0.9375,0.6581696841527394,0.7038027584311021,0.08654725551605225,0.3813487639524468
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:12:36_2026,right,1,0.9600000000000001,0.5847567945339237,0.6567908030645162,0.06490253905455272,0.5105909644521588
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:13:10_2026,right,0,0.04938271604938271,0.44130203365354415,0.3848099574437074,-0.04691816369692485,0.8497907710741446
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:13:30_2026,left,1,0.943661971830986,0.6081193467530006,0.6717038955038287,0.07159016529719035,0.46177543099620966
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:15:02_2026,right,1,0.34177215189873417,0.4868775815563993,0.5820585919509048,0.03312298655509949,0.7080911339827971
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:15:26_2026,left,1,0.9500000000000001,0.6338325273567968,0.7631334402835337,0.11699359615643819,0.42144717154101263
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:15:54_2026,right,0,0.05714285714285714,0.30706738384633914,0.16213894403321058,-0.16423986355463663,1.4343717002918985
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:16:22_2026,left,1,0.7101449275362318,0.5537530499754683,0.635689510576724,0.05567037562529246,0.5552209915685433
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:16:48_2026,right,0,0.06153846153846154,0.33791808116226696,0.24139606837010005,-0.11450407902399698,1.2417940699655765
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:17:13_2026,left,1,0.9215686274509804,0.5602869392757971,0.6972109831184062,0.08340518176555635,0.5022829492033153
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:17:36_2026,right,0,0.0625,0.3884168114505537,0.36710057000087454,-0.05446756879488627,0.9922168186588802
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:17:54_2026,left,1,0.9518072289156626,0.5583066451450471,0.5518442604737638,0.02081250647703806,0.57908668872294
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:18:14_2026,left,1,0.9518072289156626,0.5577919858982328,0.6335023775310469,0.054727171858151756,0.5524070055445408
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:18:37_2026,right,0,0.25,0.35387052492219645,0.26746056435089166,-0.10075450440247855,1.1507925752573833
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:18:58_2026,right,0,0.05333333333333334,0.44282749723205883,0.46745281508148345,-0.013037309050559996,0.8201925570267938
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:19:18_2026,left,1,0.9540229885057472,0.6064755850414681,0.7328720317462633,0.10092432796955109,0.4599986378447461
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:19:42_2026,right,0,0.04938271604938271,0.3446505829795494,0.23795432275969794,-0.11639277637004852,1.1907390678846534
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:20:01_2026,left,1,0.9452054794520548,0.651981642691874,0.7207754778380493,0.09483114878336588,0.3877471294538194
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:20:39_2026,right,0,0.05714285714285714,0.37286302476269634,0.32794869619669503,-0.07174775004386902,1.0686910384079062
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:21:05_2026,left,1,0.9420289855072463,0.5521807442162795,0.577138834602353,0.031103894114494327,0.5706362592157588
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:21:56_2026,left,1,0.9365079365079365,0.6433222924442155,0.7841840832350309,0.12902179857095084,0.39237170541132427
pi05_droid_h16,0.1,train,train_natural,Sun_Aug__9_19:22:17_2026,right,0,0.05063291139240506,0.2982708589370508,0.2049253492859966,-0.13557902475198108,1.3591832406953273
pi05_droid_h16,0.3,test,C0_natural_direct,Sun_Aug__9_19:29:02_2026,left,1,0.7619047619047619,0.5096648772998322,0.513208833539881,0.015854289134343467,0.6719443747468041
pi05_droid_h16,0.3,test,C0_natural_direct,Sun_Aug__9_19:29:23_2026,right,0,0.0449438202247191,0.44504676579257635,0.4400046487400393,-0.07234295705954234,0.8218362822687695
pi05_droid_h16,0.3,test,C1_mild_exaggeration,Sun_Aug__9_19:30:32_2026,left,1,0.9560439560439561,0.5435750303426973,0.5356622674332351,0.042867511510848985,0.6053088436132708
pi05_droid_h16,0.3,test,C1_mild_exaggeration,Sun_Aug__9_19:31:21_2026,right,1,0.9591836734693878,0.5290977908470349,0.5343441296451872,0.041277954975763954,0.6304328193902135
pi05_droid_h16,0.3,test,C2_strong_exaggeration,Sun_Aug__9_19:33:31_2026,left,1,0.9534883720930233,0.6845436978188492,0.7565046873135065,0.3400833110014597,0.34091805023530414
pi05_droid_h16,0.3,test,C2_strong_exaggeration,Sun_Aug__9_19:33:54_2026,right,1,0.39285714285714285,0.494209847569244,0.5206670478003873,0.02481459577878316,0.7022955214895952
pi05_droid_h16,0.3,test,C3_extreme_exaggeration,Sun_Aug__9_19:34:35_2026,right,1,0.9768786127167629,0.5782619996566511,0.5921324322757131,0.11183633406956991,0.5406701348781896
pi05_droid_h16,0.3,test,C3_extreme_exaggeration,Sun_Aug__9_19:35:12_2026,left,1,0.9701492537313433,0.6401162626497747,0.6702725628976045,0.21282542248566946,0.43047727432751837
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:07:45_2026,left,1,0.2571428571428571,0.497820880202969,0.5158030827087705,0.018970017631848655,0.6909203552502301
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:08:45_2026,right,0,0.06060606060606061,0.45529278978161836,0.42959269538716044,-0.08505394061406454,0.810661770393412
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:09:06_2026,left,1,0.948051948051948,0.5437217649832098,0.5454166588732116,0.05465062459309896,0.6014376188309889
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:09:27_2026,right,0,0.057971014492753624,0.45658088137855063,0.4396149967899177,-0.07281741499900816,0.8047294479606405
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:09:58_2026,right,1,0.9459459459459459,0.5035876908067886,0.5059494589736103,0.007139687736829122,0.6840640664145488
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:10:16_2026,left,1,0.9393939393939394,0.5388969774304252,0.5779556204510531,0.09431598335504532,0.5959740913484198
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:10:44_2026,right,0,0.057971014492753624,0.46977376810275684,0.44849575562578226,-0.06202509502569834,0.7724831481440804
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:11:06_2026,left,1,0.9473684210526316,0.5795097492815937,0.6057408649089879,0.12883316477139792,0.5260126497915036
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:11:26_2026,left,1,0.9420289855072463,0.527041254444255,0.5316174503833206,0.03799163301785787,0.6339769988915172
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:11:48_2026,right,0,0.046511627906976744,0.46053799690734176,0.46723116209662685,-0.039379050334294625,0.781166117335348
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:12:15_2026,left,1,0.9375,0.5551567153048556,0.5716266283682958,0.08654725551605225,0.5727122263295292
