condition,target,init_state_index,repeat_index,success,policy_steps,policy_queries,eef_path_length_m,action_total_variation_l2,first_guidance_scale,mean_post_first_guidance_scale,max_post_first_guidance_scale,belief_negative_after_first_chunk,initial_observation_sha256,metadata_path
base,cabinet,29,1,True,81,17,0.8482254789563806,10.49622228744743,0.0,0.0,0.0,nan,04690a8a329479d4d8480848345a724aa63fea11d15a80b9c0ba12452ddc8570,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init29_repeat1_success.json
base,cabinet,2,0,True,80,16,0.8478892317817025,11.02091141769392,0.0,0.0,0.0,nan,07647764a03683fc3d8eafa89bc50caece60c577ace27c4340a71874e202d462,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init2_repeat0_success.json
base,cabinet,2,1,True,130,26,1.3086916784523097,21.262675659777983,0.0,0.0,0.0,nan,07647764a03683fc3d8eafa89bc50caece60c577ace27c4340a71874e202d462,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init2_repeat1_success.json
base,cabinet,30,0,True,88,18,0.9429675997321292,11.078579171808155,0.0,0.0,0.0,nan,9718d315668e74039a78bb2adc1de3e0b53e4dcee9c32c1714d08c36145c94b6,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init30_repeat0_success.json
base,cabinet,30,1,True,87,18,0.9094573940605435,10.788132320391751,0.0,0.0,0.0,nan,9718d315668e74039a78bb2adc1de3e0b53e4dcee9c32c1714d08c36145c94b6,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init30_repeat1_success.json
base,cabinet,31,0,True,82,17,0.8316405177887102,10.829367813442053,0.0,0.0,0.0,nan,f0eb1d93bc1d9eefbd14ba41baa2ec63c5ebb2fa97d3db9d9c412a3572148cd5,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init31_repeat0_success.json
base,cabinet,31,1,True,76,16,0.7687545254175774,10.303749114788097,0.0,0.0,0.0,nan,f0eb1d93bc1d9eefbd14ba41baa2ec63c5ebb2fa97d3db9d9c412a3572148cd5,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init31_repeat1_success.json
base,cabinet,32,0,True,83,17,0.8626556416742086,10.199376574384479,0.0,0.0,0.0,nan,324b14729b178fc48dc5fba1245e969eb9bbeecafa150b00b3211397a7c2e21a,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init32_repeat0_success.json
base,cabinet,32,1,True,81,17,0.8491441277956153,10.483281512644007,0.0,0.0,0.0,nan,324b14729b178fc48dc5fba1245e969eb9bbeecafa150b00b3211397a7c2e21a,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init32_repeat1_success.json
base,cabinet,33,0,True,83,17,0.8519092491430573,10.025432423763037,0.0,0.0,0.0,nan,61b73a145af4f6296ffbc8cf83295fb78de2330b1a27a2e4dfae973fc06c8d36,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init33_repeat0_success.json
base,cabinet,33,1,True,79,16,0.8292247689662742,10.523898095602824,0.0,0.0,0.0,nan,61b73a145af4f6296ffbc8cf83295fb78de2330b1a27a2e4dfae973fc06c8d36,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init33_repeat1_success.json
base,cabinet,34,0,True,89,18,0.9365454816956087,11.93764066074412,0.0,0.0,0.0,nan,e2812ea1b93d1584cfdda64f0e67062198046b92fda272f4736ee6657b17d330,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init34_repeat0_success.json
base,cabinet,34,1,True,92,19,0.9751770680113645,11.894064967227107,0.0,0.0,0.0,nan,e2812ea1b93d1584cfdda64f0e67062198046b92fda272f4736ee6657b17d330,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init34_repeat1_success.json
base,cabinet,35,0,True,80,16,0.8300779979648596,10.675899906177342,0.0,0.0,0.0,nan,945dfca2c6627025454ae79139af5b9f857b24499f03f7f85e65266769d2a8ea,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init35_repeat0_success.json
base,cabinet,35,1,True,77,16,0.8065402612436483,10.205867768923534,0.0,0.0,0.0,nan,945dfca2c6627025454ae79139af5b9f857b24499f03f7f85e65266769d2a8ea,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init35_repeat1_success.json
base,cabinet,36,0,True,81,17,0.852093656505471,11.057850087139366,0.0,0.0,0.0,nan,af8804653dec29bf09ef1dc18c5768858ff4e9b5207c2f76108d74af46070aa1,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init36_repeat0_success.json
base,cabinet,36,1,True,82,17,0.8560591450454884,10.586033276480576,0.0,0.0,0.0,nan,af8804653dec29bf09ef1dc18c5768858ff4e9b5207c2f76108d74af46070aa1,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init36_repeat1_success.json
base,cabinet,37,0,True,90,18,0.8916292923746898,10.395802805673524,0.0,0.0,0.0,nan,d76d7f03d5fea2c47ae97343a16eef28909122585ae17f254a7af83435f24307,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init37_repeat0_success.json
base,cabinet,37,1,True,87,18,0.8622516245545138,10.305491794526496,0.0,0.0,0.0,nan,d76d7f03d5fea2c47ae97343a16eef28909122585ae17f254a7af83435f24307,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init37_repeat1_success.json
base,cabinet,38,0,True,84,17,0.8576990160549981,10.53255472104326,0.0,0.0,0.0,nan,2a6b10cd88679fcd1f74dc7d38fd2874680b79ef51c8e0bc5274559cdeba0a36,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init38_repeat0_success.json
base,cabinet,38,1,True,83,17,0.8455569279085041,10.471787800107228,0.0,0.0,0.0,nan,2a6b10cd88679fcd1f74dc7d38fd2874680b79ef51c8e0bc5274559cdeba0a36,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init38_repeat1_success.json
base,cabinet,39,0,True,87,18,0.9036410761661164,10.140987492957612,0.0,0.0,0.0,nan,68b95c64e588d676a6ee8c4b2a0e78e1a86d73b6c9d2d22018c7994e3ad64021,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init39_repeat0_success.json
base,cabinet,39,1,True,80,16,0.8247310986064303,10.050891057231091,0.0,0.0,0.0,nan,68b95c64e588d676a6ee8c4b2a0e78e1a86d73b6c9d2d22018c7994e3ad64021,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init39_repeat1_success.json
base,cabinet,3,0,True,97,20,0.9962473610187859,11.473741170043638,0.0,0.0,0.0,nan,74ccae308490f1da3aa03becd3175a8f5b9d6d14a7c8d407cda4004aefd68799,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init3_repeat0_success.json
base,cabinet,3,1,True,97,20,0.9886472850520985,11.090133419987634,0.0,0.0,0.0,nan,74ccae308490f1da3aa03becd3175a8f5b9d6d14a7c8d407cda4004aefd68799,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init3_repeat1_success.json
base,cabinet,40,0,True,85,17,0.8518506946627107,10.118742660209461,0.0,0.0,0.0,nan,9c5b5fb4a4a0d6accf34e8481d505c31facb4c3c56828cb7ec86c9eda06ae3bb,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init40_repeat0_success.json
base,cabinet,40,1,True,85,17,0.8676699599550123,10.952828543824635,0.0,0.0,0.0,nan,9c5b5fb4a4a0d6accf34e8481d505c31facb4c3c56828cb7ec86c9eda06ae3bb,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init40_repeat1_success.json
base,cabinet,41,0,True,83,17,0.8577455652683329,10.564022798201824,0.0,0.0,0.0,nan,edd6d06d90f10ef8e0b62dbcff76dc6a4ce864589ac6aae93cefb2d121581ccd,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init41_repeat0_success.json
