episode_id,condition,target_side,chunk_index,start,stop,executed_steps,progress,num_seeds,energy_left_mean,energy_right_mean,local_margin_left_minus_right_mean,local_margin_seed_sd,right_support_rate,mean_sign_seed_agreement,true_target_seed_support_rate,flat_cumulative_margin,flat_cumulative_score,linear_cumulative_score,exponential_cumulative_score
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,4,64,80,16,0.5128205128205128,10,0.33086777478456497,0.3093168467283249,0.021550928056240082,0.006818130785779005,1.0,1.0,1.0,0.07047020196914673,0.014094040393829346,0.013470919132232665,0.01239993276545704
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,5,80,96,16,0.6153846153846154,10,0.32976158112287524,0.33978627920150756,-0.010024698078632354,0.003945723154705321,0.0,1.0,0.0,0.060445503890514375,0.010074250648419063,0.010860294997692109,0.01084626893788581
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,6,96,112,16,0.717948717948718,10,0.28589565455913546,0.2828481733798981,0.0030474811792373657,0.0013825506280302378,1.0,1.0,1.0,0.06349298506975173,0.009070426438535962,0.010222514277818251,0.010465525162749525
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,7,112,128,16,0.8205128205128205,10,0.29477445036172867,0.2963686347007751,-0.0015941843390464782,0.0024496881768812213,0.3,0.7,0.3,0.06189880073070526,0.007737350091338157,0.009540781665306825,0.01004458119989957
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,8,128,144,16,0.9230769230769231,10,0.28150845915079115,0.29038445800542834,-0.008875998854637145,0.0022288102723024843,0.0,1.0,0.0,0.053022801876068115,0.005891422430674235,0.008858678683086678,0.009567660485022627
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,9,144,156,12,1.0,10,0.3182436227798462,0.3231468290090561,-0.0049032062292098996,0.0009365124082262502,0.0,1.0,0.0,0.048119595646858214,0.004811959564685822,0.008608462593772195,0.00930239363957791
2026_08_18_00_48_13_457980_L1_left_C0,C0,left,0,0,16,16,0.13793103448275862,10,0.320425945520401,0.3391211122274399,-0.018695166707038878,0.020796210013865907,0.3,0.7,0.7,-0.018695166707038878,-0.018695166707038878,-0.018695166707038878,-0.018695166707038878
2026_08_18_00_48_13_457980_L1_left_C0,C0,left,1,16,32,16,0.27586206896551724,10,0.22361724823713303,0.26073626428842545,-0.03711901605129242,0.014275612495661873,0.0,1.0,1.0,-0.0558141827583313,-0.02790709137916565,-0.02729296306769053,-0.026199815902367654
2026_08_18_00_48_13_457980_L1_left_C0,C0,left,2,32,48,16,0.41379310344827586,10,0.2308504655957222,0.23965200781822205,-0.008801542222499847,0.00619190994134234,0.1,0.9,0.9,-0.06461572498083115,-0.021538574993610383,-0.02200969996906462,-0.02239441207745632
2026_08_18_00_48_13_457980_L1_left_C0,C0,left,3,48,64,16,0.5517241379310345,10,0.2319786250591278,0.2343705452978611,-0.0023919202387332915,0.0022733601234111852,0.1,0.9,0.9,-0.06700764521956444,-0.01675191130489111,-0.018237050020923982,-0.019780461815462957
2026_08_18_00_48_13_457980_L1_left_C0,C0,left,4,64,80,16,0.6896551724137931,10,0.19394652247428895,0.19083899036049842,0.0031075321137905123,0.001162035583227266,1.0,1.0,0.0,-0.06390011310577393,-0.012780022621154786,-0.015391105736295381,-0.017894176373272785
2026_08_18_00_48_13_457980_L1_left_C0,C0,left,5,80,96,16,0.8275862068965517,10,0.21093090623617172,0.21836523860692977,-0.007434332370758056,0.0026558739518520807,0.0,1.0,1.0,-0.07133444547653198,-0.011889074246088663,-0.014667762703064717,-0.017333468628457808
2026_08_18_00_48_13_457980_L1_left_C0,C0,left,6,96,112,16,0.9655172413793104,10,0.258221310377121,0.26055278033018114,-0.00233146995306015,0.002280104375130091,0.2,0.8,0.8,-0.07366591542959212,-0.010523702204227447,-0.01396283168877874,-0.016800395017400372
2026_08_18_00_48_13_457980_L1_left_C0,C0,left,7,112,116,4,1.0,10,0.29916503429412844,0.30923469364643097,-0.010069659352302552,0.0014089611194897304,0.0,1.0,1.0,-0.08373557478189468,-0.010466946847736835,-0.013854688012765513,-0.01663993702483725
2026_08_18_00_49_05_482404_L1_left_C1,C1,left,0,0,16,16,0.125,10,0.35543074905872346,0.38234896063804624,-0.026918211579322816,0.02190276844778983,0.1,0.9,0.9,-0.026918211579322816,-0.026918211579322816,-0.026918211579322816,-0.026918211579322816
2026_08_18_00_49_05_482404_L1_left_C1,C1,left,1,16,32,16,0.25,10,0.23946340531110763,0.34735083281993867,-0.10788742750883103,0.01664153302255125,0.0,1.0,1.0,-0.13480563908815385,-0.06740281954407693,-0.06470384567975998,-0.059899677602942486
2026_08_18_00_49_05_482404_L1_left_C1,C1,left,2,32,48,16,0.375,10,0.27374391406774523,0.3267605870962143,-0.05301667302846909,0.015044127885473785,0.0,1.0,1.0,-0.18782231211662292,-0.06260743737220764,-0.06136465349367687,-0.05839420571437852
2026_08_18_00_49_05_482404_L1_left_C1,C1,left,3,48,64,16,0.5,10,0.32145061492919924,0.293638513982296,0.02781210094690323,0.02087949731972522,0.8,0.8,0.2,-0.1600102111697197,-0.040002552792429924,-0.04421527763971916,-0.04712865941646669
2026_08_18_00_49_05_482404_L1_left_C1,C1,left,4,64,80,16,0.625,10,0.25174732953310014,0.2661206364631653,-0.014373306930065156,0.005224311313274487,0.0,1.0,1.0,-0.17438351809978486,-0.03487670361995697,-0.04023634821176529,-0.04442916793897476
2026_08_18_00_49_05_482404_L1_left_C1,C1,left,5,80,96,16,0.75,10,0.27441461086273194,0.2798765942454338,-0.005461983382701874,0.0060185360327064345,0.1,0.9,0.9,-0.17984550148248674,-0.029974250247081124,-0.037075042318214076,-0.042340302926352776
2026_08_18_00_49_05_482404_L1_left_C1,C1,left,6,96,112,16,0.875,10,0.2652101173996925,0.25637550204992293,0.008834615349769592,0.005144699843855955,0.9,0.9,0.1,-0.17101088613271714,-0.024430126590388162,-0.034451633308615004,-0.04052187865694132
2026_08_18_00_49_05_482404_L1_left_C1,C1,left,7,112,128,16,1.0,10,0.2688848853111267,0.25768463909626005,0.011200246214866639,0.001894783565370566,1.0,1.0,0.0,-0.1598106399178505,-0.019976329989731312,-0.033183525544073854,-0.03928884429918678
2026_08_18_00_49_36_378126_L1_left_C2,C2,left,0,0,16,16,0.10256410256410256,10,0.3179501324892044,0.3451688677072525,-0.027218735218048094,0.016223739776582733,0.0,1.0,1.0,-0.027218735218048094,-0.027218735218048094,-0.027218735218048094,-0.027218735218048094
2026_08_18_00_49_36_378126_L1_left_C2,C2,left,1,16,32,16,0.20512820512820512,10,0.24534168243408203,0.3248194769024849,-0.07947779446840286,0.012906189082421998,0.0,1.0,1.0,-0.10669652968645096,-0.05334826484322548,-0.05197302644190035,-0.04945796894641947
2026_08_18_00_49_36_378126_L1_left_C2,C2,left,2,32,48,16,0.3076923076923077,10,0.28383235484361646,0.34374637305736544,-0.059914018213748935,0.01619039231891919,0.0,1.0,1.0,-0.1666105479001999,-0.05553684930006664,-0.05432591289281844,-0.05196422623010271
2026_08_18_00_49_36_378126_L1_left_C2,C2,left,3,48,64,16,0.41025641025641024,10,0.2609689638018608,0.28007997423410413,-0.019111010432243346,0.012362045159109655,0.1,0.9,0.9,-0.18572155833244325,-0.04643038958311081,-0.04707578591564121,-0.04701017120320382
2026_08_18_00_49_36_378126_L1_left_C2,C2,left,4,64,80,16,0.5128205128205128,10,0.276611365377903,0.283651739358902,-0.007040373980998993,0.004989516406800631,0.2,0.8,0.8,-0.19276193231344224,-0.03855238646268845,-0.041070474125444886,-0.042993791419509514
2026_08_18_00_49_36_378126_L1_left_C2,C2,left,5,80,96,16,0.6153846153846154,10,0.26761574745178224,0.26197793930768964,0.00563780814409256,0.003718080487918427,0.9,0.9,0.1,-0.18712412416934968,-0.031187354028224947,-0.03588066498438517,-0.03962440899157927
2026_08_18_00_49_36_378126_L1_left_C2,C2,left,6,96,112,16,0.717948717948718,10,0.24621558636426927,0.25093014985322953,-0.004714563488960266,0.0030350137151857323,0.0,1.0,1.0,-0.19183868765830994,-0.027405526808329993,-0.033336493433738235,-0.03792007919348317
2026_08_18_00_49_36_378126_L1_left_C2,C2,left,7,112,128,16,0.8205128205128205,10,0.28342108279466627,0.2983989492058754,-0.014977866411209106,0.002049721175659502,0.0,1.0,1.0,-0.20681655406951904,-0.02585206925868988,-0.03227734187474617,-0.03711928163167796
2026_08_18_00_49_36_378126_L1_left_C2,C2,left,8,128,144,16,0.9230769230769231,10,0.3842598646879196,0.38685367703437806,-0.002593812346458435,0.0040151224288014434,0.3,0.7,0.7,-0.2094103664159775,-0.023267818490664165,-0.031177951892216997,-0.03624901700736373
2026_08_18_00_49_36_378126_L1_left_C2,C2,left,9,144,156,12,1.0,10,0.2533713594079018,0.26111951768398284,-0.007748158276081085,0.0013374674360755556,0.0,1.0,1.0,-0.21715852469205857,-0.021715852469205855,-0.03075195564465089,-0.03572656503282671
2026_08_18_00_50_22_202653_L1_right_C0,C0,right,0,0,16,16,0.13793103448275862,10,0.36501210927963257,0.3736595124006271,-0.008647403120994568,0.021147876104088973,0.3,0.7,0.3,-0.008647403120994568,-0.008647403120994568,-0.008647403120994568,-0.008647403120994568
2026_08_18_00_50_22_202653_L1_right_C0,C0,right,1,16,32,16,0.27586206896551724,10,0.24339596331119537,0.28585233390331266,-0.04245637059211731,0.019349328050206772,0.0,1.0,0.0,-0.05110377371311187,-0.025551886856555937,-0.024424921274185177,-0.02241892479304925
2026_08_18_00_50_22_202653_L1_right_C0,C0,right,2,32,48,16,0.41379310344827586,10,0.24010959565639495,0.2269772097468376,0.013132385909557343,0.002972695492826577,1.0,1.0,1.0,-0.03797138780355453,-0.01265712926785151,-0.013694262078830172,-0.014643032988056205
2026_08_18_00_50_22_202653_L1_right_C0,C0,right,3,48,64,16,0.5517241379310345,10,0.22612554281949998,0.22641360610723496,-0.00028806328773498533,0.0012711672234653449,0.3,0.7,0.3,-0.03825945109128952,-0.00956486277282238,-0.011116146926696482,-0.012767107872745324
