episode_id,target_side_base,target_side_exterior_camera,chunk_index,progress_pregrasp,seed,visual_condition,energy_left,energy_right,margin_left_minus_right
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,8,both_hflip,0.20431606471538544,0.3494560718536377,-0.14514000713825226
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,9,original,0.2994738221168518,0.38065657019615173,-0.08118274807929993
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,9,exterior_hflip,0.3098752498626709,0.42386823892593384,-0.11399298906326294
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,9,wrist_hflip,0.23093874752521515,0.27409693598747253,-0.043158188462257385
2026_08_17_02_29_03_938361_L1_left_C2,left,right,2,0.3076923076923077,9,both_hflip,0.28521716594696045,0.422260582447052,-0.13704341650009155
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,0,original,0.23674358427524567,0.24099066853523254,-0.0042470842599868774
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,0,exterior_hflip,0.21242642402648926,0.2825835943222046,-0.07015717029571533
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,0,wrist_hflip,0.20527419447898865,0.20670516788959503,-0.0014309734106063843
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,0,both_hflip,0.18968135118484497,0.26240459084510803,-0.07272323966026306
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,1,original,0.3648843467235565,0.37765786051750183,-0.012773513793945312
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,1,exterior_hflip,0.3167274296283722,0.39721912145614624,-0.08049169182777405
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,1,wrist_hflip,0.30266761779785156,0.322069376707077,-0.019401758909225464
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,1,both_hflip,0.2736561596393585,0.3682329058647156,-0.09457674622535706
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,2,original,0.37072062492370605,0.38515323400497437,-0.01443260908126831
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,2,exterior_hflip,0.335376501083374,0.4052349328994751,-0.06985843181610107
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,2,wrist_hflip,0.35373735427856445,0.36283621191978455,-0.009098857641220093
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,2,both_hflip,0.31458815932273865,0.4090939462184906,-0.09450578689575195
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,3,original,0.3469647467136383,0.3538418114185333,-0.0068770647048950195
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,3,exterior_hflip,0.3132987916469574,0.38076066970825195,-0.06746187806129456
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,3,wrist_hflip,0.2639786899089813,0.2774720788002014,-0.013493388891220093
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,3,both_hflip,0.26127323508262634,0.34548234939575195,-0.08420911431312561
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,4,original,0.27814537286758423,0.2837831676006317,-0.005637794733047485
