decision,grouping,level,num_trajectories,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red
linear,condition_x_target_color,C0/blue,4,0.0,0.025,0.0,0.5,0.026297999390711386
linear,condition_x_target_color,C0/red,4,0.75,0.75,0.25,0.25,0.013141478396331271
linear,condition_x_target_color,C1/blue,4,0.0,0.2,0.0,0.5,0.01770472644517819
linear,condition_x_target_color,C1/red,4,0.5,0.55,0.5,1.0,0.0019229166064825324
linear,condition_x_target_color,C2/blue,4,0.25,0.25,0.25,0.75,0.010124812512235208
linear,condition_x_target_color,C2/red,4,0.5,0.625,0.5,1.0,0.006673505150459029
exponential,overall,all,24,0.2916666666666667,0.3416666666666666,0.20833333333333334,0.7083333333333334,0.015251508222179187
exponential,target_color,blue,12,0.0,0.05000000000000001,0.0,0.5,0.024292023039974426
exponential,target_color,red,12,0.5833333333333334,0.6333333333333333,0.4166666666666667,0.9166666666666666,0.006210993404383944
exponential,target_side,left,12,0.08333333333333333,0.18333333333333332,0.4166666666666667,0.9166666666666666,0.016792835323335985
exponential,target_side,right,12,0.5,0.5,0.0,0.5,0.01371018112102239
exponential,layout,L1,12,0.3333333333333333,0.325,0.16666666666666666,0.6666666666666666,0.008257973217845516
exponential,layout,L3,12,0.25,0.3583333333333334,0.25,0.75,0.02224504322651286
exponential,blue_side,left,12,0.5,0.45,0.0,1.0,0.02611519748297851
exponential,blue_side,right,12,0.08333333333333333,0.2333333333333333,0.4166666666666667,0.4166666666666667,0.004387818961379862
exponential,condition,C0,8,0.375,0.3625,0.125,0.625,0.02091461944132942
exponential,condition,C1,8,0.25,0.35,0.25,0.75,0.013073563344309749
exponential,condition,C2,8,0.25,0.3125,0.25,0.75,0.011766341880898389
exponential,target_color_x_side,blue/left,6,0.0,0.0,0.0,1.0,0.03669703940193055
exponential,target_color_x_side,blue/right,6,0.0,0.10000000000000002,0.0,0.0,0.011887006678018312
exponential,target_color_x_side,red/left,6,0.16666666666666666,0.3666666666666667,0.8333333333333334,0.8333333333333334,-0.003111368755258586
exponential,target_color_x_side,red/right,6,1.0,0.9,0.0,1.0,0.015533355564026472
exponential,layout_x_side,L1/left,6,0.16666666666666666,0.20000000000000004,0.3333333333333333,0.8333333333333334,0.007121436540703879
exponential,layout_x_side,L1/right,6,0.5,0.44999999999999996,0.0,0.5,0.009394509894987151
exponential,layout_x_side,L3/left,6,0.0,0.16666666666666666,0.5,1.0,0.02646423410596808
exponential,layout_x_side,L3/right,6,0.5,0.5499999999999999,0.0,0.5,0.01802585234705763
exponential,layout_x_blue_side,L1/left,6,0.5,0.39999999999999997,0.0,1.0,0.013577380711992215
exponential,layout_x_blue_side,L1/right,6,0.16666666666666666,0.25000000000000006,0.3333333333333333,0.3333333333333333,0.002938565723698817
exponential,layout_x_blue_side,L3/left,6,0.5,0.5,0.0,1.0,0.03865301425396481
