decision,grouping,level,num_trajectories,accuracy,camera_frame_accuracy,seed_pooled_accuracy,predicted_left_rate,mean_score_left_minus_right
30pct,condition_x_side,C0/right,4,0.0,1.0,0.15,1.0,-0.05907365081366152
30pct,condition_x_side,C1/left,4,1.0,0.0,1.0,1.0,-0.14898099273443222
30pct,condition_x_side,C1/right,4,0.0,1.0,0.225,1.0,-0.03064319118857383
30pct,condition_x_side,C2/left,4,1.0,0.0,1.0,1.0,-0.17126154916593803
30pct,condition_x_side,C2/right,4,0.0,1.0,0.07500000000000001,1.0,-0.07179055581102146
30pct,condition_x_target_color,C0/blue,4,0.5,0.5,0.625,1.0,-0.10760687435045838
30pct,condition_x_target_color,C0/red,4,0.5,0.5,0.525,1.0,-0.12326982934493572
30pct,condition_x_target_color,C1/blue,4,0.5,0.5,0.6,1.0,-0.08772211837582289
30pct,condition_x_target_color,C1/red,4,0.5,0.5,0.625,1.0,-0.09190206554718315
30pct,condition_x_target_color,C2/blue,4,0.5,0.5,0.525,1.0,-0.12066096022957934
30pct,condition_x_target_color,C2/red,4,0.5,0.5,0.55,1.0,-0.12239114474738015
40pct,overall,all,24,0.5,0.5,0.5375,1.0,-0.1374014468017655
40pct,target_color,blue,12,0.5,0.5,0.5333333333333333,1.0,-0.13795919165791323
40pct,target_color,red,12,0.5,0.5,0.5416666666666666,1.0,-0.13684370194561782
40pct,target_side,left,12,1.0,0.0,1.0,1.0,-0.19179294758476317
40pct,target_side,right,12,0.0,1.0,0.075,1.0,-0.08300994601876786
40pct,layout,L1,12,0.5,0.5,0.5166666666666666,1.0,-0.13551470301424465
40pct,layout,L3,12,0.5,0.5,0.5583333333333333,1.0,-0.13928819058928638
40pct,blue_side,left,12,0.5,0.5,0.5416666666666666,1.0,-0.12632904400428138
40pct,blue_side,right,12,0.5,0.5,0.5333333333333333,1.0,-0.14847384959924967
40pct,condition,C0,8,0.5,0.5,0.5375000000000001,1.0,-0.15876625903183594
40pct,condition,C1,8,0.5,0.5,0.55,1.0,-0.11514744142070411
40pct,condition,C2,8,0.5,0.5,0.525,1.0,-0.13829063995275645
40pct,target_color_x_side,blue/left,6,1.0,0.0,1.0,1.0,-0.18127828964342674
40pct,target_color_x_side,blue/right,6,0.0,1.0,0.06666666666666667,1.0,-0.09464009367239973
40pct,target_color_x_side,red/left,6,1.0,0.0,1.0,1.0,-0.2023076055260996
40pct,target_color_x_side,red/right,6,0.0,1.0,0.08333333333333333,1.0,-0.07137979836513599
40pct,layout_x_side,L1/left,6,1.0,0.0,1.0,1.0,-0.17753125637769698
40pct,layout_x_side,L1/right,6,0.0,1.0,0.03333333333333333,1.0,-0.09349814965079228
40pct,layout_x_side,L3/left,6,1.0,0.0,1.0,1.0,-0.2060546387918293
40pct,layout_x_side,L3/right,6,0.0,1.0,0.11666666666666665,1.0,-0.07252174238674343
40pct,condition_x_side,C0/left,4,1.0,0.0,1.0,1.0,-0.22671966269612315
40pct,condition_x_side,C0/right,4,0.0,1.0,0.07500000000000001,1.0,-0.09081285536754878
40pct,condition_x_side,C1/left,4,1.0,0.0,1.0,1.0,-0.17007084824144839
40pct,condition_x_side,C1/right,4,0.0,1.0,0.1,1.0,-0.06022403459995984
40pct,condition_x_side,C2/left,4,1.0,0.0,1.0,1.0,-0.17858833181671796
40pct,condition_x_side,C2/right,4,0.0,1.0,0.05,1.0,-0.09799294808879494
40pct,condition_x_target_color,C0/blue,4,0.5,0.5,0.525,1.0,-0.15912254209164534
40pct,condition_x_target_color,C0/red,4,0.5,0.5,0.55,1.0,-0.1584099759720266
40pct,condition_x_target_color,C1/blue,4,0.5,0.5,0.55,1.0,-0.11548693567514419
40pct,condition_x_target_color,C1/red,4,0.5,0.5,0.55,1.0,-0.11480794716626405
40pct,condition_x_target_color,C2/blue,4,0.5,0.5,0.525,1.0,-0.1392680972069502
40pct,condition_x_target_color,C2/red,4,0.5,0.5,0.525,1.0,-0.13731318269856274
100pct,overall,all,24,0.5,0.5,0.4875,1.0,-0.18705994533374906
100pct,target_color,blue,12,0.5,0.5,0.4583333333333333,1.0,-0.19568229932337997
100pct,target_color,red,12,0.5,0.5,0.5166666666666667,1.0,-0.1784375913441181
100pct,target_side,left,12,1.0,0.0,0.9583333333333334,1.0,-0.20641300845891233
100pct,target_side,right,12,0.0,1.0,0.016666666666666666,1.0,-0.16770688220858573
100pct,layout,L1,12,0.5,0.5,0.4583333333333333,1.0,-0.18175446093082426
100pct,layout,L3,12,0.5,0.5,0.5166666666666667,1.0,-0.1923654297366738
100pct,blue_side,left,12,0.5,0.5,0.47500000000000003,1.0,-0.16066126246005297
100pct,blue_side,right,12,0.5,0.5,0.5,1.0,-0.21345862820744513
100pct,condition,C0,8,0.5,0.5,0.525,1.0,-0.23637653766199945
100pct,condition,C1,8,0.5,0.5,0.5,1.0,-0.15561558585613963
100pct,condition,C2,8,0.5,0.5,0.4375,1.0,-0.16918771248310804
100pct,target_color_x_side,blue/left,6,1.0,0.0,0.9166666666666666,1.0,-0.1886366795748472
100pct,target_color_x_side,blue/right,6,0.0,1.0,0.0,1.0,-0.20272791907191276
100pct,target_color_x_side,red/left,6,1.0,0.0,1.0,1.0,-0.22418933734297752
100pct,target_color_x_side,red/right,6,0.0,1.0,0.03333333333333333,1.0,-0.1326858453452587
100pct,layout_x_side,L1/left,6,1.0,0.0,0.9166666666666666,1.0,-0.1872417703270912
100pct,layout_x_side,L1/right,6,0.0,1.0,0.0,1.0,-0.1762671515345573
100pct,layout_x_side,L3/left,6,1.0,0.0,1.0,1.0,-0.2255842465907335
100pct,layout_x_side,L3/right,6,0.0,1.0,0.03333333333333333,1.0,-0.1591466128826141
100pct,condition_x_side,C0/left,4,1.0,0.0,1.0,1.0,-0.3462697703391313
100pct,condition_x_side,C0/right,4,0.0,1.0,0.05,1.0,-0.12648330498486757
100pct,condition_x_side,C1/left,4,1.0,0.0,1.0,1.0,-0.1563344536349177
100pct,condition_x_side,C1/right,4,0.0,1.0,0.0,1.0,-0.15489671807736158
100pct,condition_x_side,C2/left,4,1.0,0.0,0.875,1.0,-0.11663480140268802
100pct,condition_x_side,C2/right,4,0.0,1.0,0.0,1.0,-0.22174062356352803
100pct,condition_x_target_color,C0/blue,4,0.5,0.5,0.5,1.0,-0.25857811644673345
100pct,condition_x_target_color,C0/red,4,0.5,0.5,0.55,1.0,-0.21417495887726543
100pct,condition_x_target_color,C1/blue,4,0.5,0.5,0.5,1.0,-0.15795268584042788
100pct,condition_x_target_color,C1/red,4,0.5,0.5,0.5,1.0,-0.15327848587185142
100pct,condition_x_target_color,C2/blue,4,0.5,0.5,0.375,1.0,-0.1705160956829786
100pct,condition_x_target_color,C2/red,4,0.5,0.5,0.5,1.0,-0.16785932928323744
flat,overall,all,24,0.5,0.5,0.4875,1.0,-0.021595855504533065
flat,target_color,blue,12,0.5,0.5,0.4583333333333333,1.0,-0.02269311259914603
flat,target_color,red,12,0.5,0.5,0.5166666666666667,1.0,-0.0204985984099201
flat,target_side,left,12,1.0,0.0,0.9583333333333334,1.0,-0.02442262956286194
flat,target_side,right,12,0.0,1.0,0.016666666666666666,1.0,-0.018769081446204195
flat,layout,L1,12,0.5,0.5,0.4583333333333333,1.0,-0.02126713812351227
flat,layout,L3,12,0.5,0.5,0.5166666666666667,1.0,-0.02192457288555387
flat,blue_side,left,12,0.5,0.5,0.47500000000000003,1.0,-0.01864121303634925
flat,blue_side,right,12,0.5,0.5,0.5,1.0,-0.024550497972716884
flat,condition,C0,8,0.5,0.5,0.525,1.0,-0.02954706720774993
flat,condition,C1,8,0.5,0.5,0.5,1.0,-0.018457280270134407
flat,condition,C2,8,0.5,0.5,0.4375,1.0,-0.016783219035714864
flat,target_color_x_side,blue/left,6,1.0,0.0,0.9166666666666666,1.0,-0.02256524418929109
flat,target_color_x_side,blue/right,6,0.0,1.0,0.0,1.0,-0.02282098100900098
flat,target_color_x_side,red/left,6,1.0,0.0,1.0,1.0,-0.026280014936432793
