decision,pair_type,layout_id,condition,fixed_value,first_episode,second_episode,first_prediction,second_prediction,first_score,second_score,both_correct,desired_relation,oriented_score_difference
100pct,same_geometry_side_color_swap,L3,C0,left,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_54_32_747715_L3_left_C0,red,red,0.2454893745481968,0.10937795192003251,0,0,-0.13611142262816428
100pct,same_geometry_side_color_swap,L3,C1,left,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_55_01_843645_L3_left_C1,red,red,0.17539623230695717,0.026322444528341295,0,0,-0.14907378777861588
100pct,same_geometry_side_color_swap,L3,C2,left,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_55_32_860317_L3_left_C2,red,red,0.18080097287893293,0.06047393977642059,0,0,-0.12032703310251233
100pct,same_geometry_side_color_swap,L3,C0,right,2026_08_18_00_52_54_907596_L3_right_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,red,0.08514540046453475,0.2764968641102314,0,0,0.19135146364569663
100pct,same_geometry_side_color_swap,L3,C1,right,2026_08_18_00_53_23_339528_L3_right_C1,2026_08_18_00_56_48_148319_L3_right_C1,blue,red,-0.11151437014341353,0.33072714954614635,1,1,0.4422415196895599
100pct,same_geometry_side_color_swap,L3,C2,right,2026_08_18_00_53_52_283658_L3_right_C2,2026_08_18_00_57_15_980084_L3_right_C2,blue,red,-0.1229839473962784,0.2963335245847702,1,1,0.4193174719810486
100pct,same_target_color_side_swap,L1,C0,blue,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_50_22_202653_L1_right_C0,blue,red,-0.004669418931007384,0.06916215270757675,0,0,-0.07383157163858414
100pct,same_target_color_side_swap,L1,C1,blue,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_50_52_802516_L1_right_C1,red,blue,0.07086809575557709,-0.08459112644195556,0,0,0.15545922219753266
100pct,same_target_color_side_swap,L1,C2,blue,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_51_25_610649_L1_right_C2,blue,blue,-0.10901921242475508,-0.1482104793190956,1,1,0.03919126689434051
100pct,same_target_color_side_swap,L1,C0,red,2026_08_18_00_48_13_457980_L1_left_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,red,0.17632185816764834,0.07714910954236984,1,1,-0.0991727486252785
100pct,same_target_color_side_swap,L1,C1,red,2026_08_18_00_49_05_482404_L1_left_C1,2026_08_18_00_45_56_961481_L1_right_C1,blue,red,-0.14714392125606537,0.24649782627820968,0,0,0.39364174753427505
