decision,grouping,level,num_trajectories,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red
20pct,condition_x_side,C2/left,4,0.5,0.55,0.0,0.5,0.06844983275514097
20pct,condition_x_side,C2/right,4,0.0,0.225,0.5,0.0,0.040740561927668756
20pct,condition_x_target_color,C0/blue,4,0.0,0.0,0.0,0.5,0.056329907085746526
20pct,condition_x_target_color,C0/red,4,1.0,0.875,0.0,0.5,0.04522508855909109
20pct,condition_x_target_color,C1/blue,4,0.0,0.125,0.0,0.5,0.044664516095072035
20pct,condition_x_target_color,C1/red,4,0.5,0.45,0.5,0.0,-0.0029745300859212905
20pct,condition_x_target_color,C2/blue,4,0.0,0.05,0.0,0.5,0.0861230052402243
20pct,condition_x_target_color,C2/red,4,0.5,0.725,0.5,0.0,0.023067389442585406
30pct,overall,all,24,0.3333333333333333,0.3541666666666667,0.16666666666666666,0.5,0.06025007520336657
30pct,target_color,blue,12,0.0,0.016666666666666666,0.0,0.5,0.08806419081520289
30pct,target_color,red,12,0.6666666666666666,0.6916666666666668,0.3333333333333333,0.5,0.03243595959153026
30pct,target_side,left,12,0.3333333333333333,0.375,0.16666666666666666,0.6666666666666666,0.07993033668880041
30pct,target_side,right,12,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.04056981371793276
30pct,layout,L1,12,0.16666666666666666,0.25,0.3333333333333333,0.5,0.03225217867953082
30pct,layout,L3,12,0.5,0.4583333333333333,0.0,0.5,0.08824797172720233
30pct,blue_side,left,12,0.3333333333333333,0.31666666666666665,0.16666666666666666,0.8333333333333334,0.08018070159247144
30pct,blue_side,right,12,0.3333333333333333,0.39166666666666666,0.16666666666666666,0.16666666666666666,0.040319448814261714
30pct,condition,C0,8,0.375,0.4625,0.125,0.625,0.07133995540440081
30pct,condition,C1,8,0.25,0.25,0.25,0.5,0.03508530524559318
30pct,condition,C2,8,0.375,0.35,0.125,0.375,0.07432496496010571
30pct,target_color_x_side,blue/left,6,0.0,0.0,0.0,1.0,0.12767507868974157
30pct,target_color_x_side,blue/right,6,0.0,0.03333333333333333,0.0,0.0,0.04845330294066419
30pct,target_color_x_side,red/left,6,0.6666666666666666,0.75,0.3333333333333333,0.3333333333333333,0.03218559468785922
30pct,target_color_x_side,red/right,6,0.6666666666666666,0.6333333333333333,0.3333333333333333,0.6666666666666666,0.032686324495201306
30pct,layout_x_side,L1/left,6,0.16666666666666666,0.25,0.3333333333333333,0.8333333333333334,0.03494033116226394
30pct,layout_x_side,L1/right,6,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666,0.029564026196797693
30pct,layout_x_side,L3/left,6,0.5,0.5,0.0,0.5,0.12492034221533684
30pct,layout_x_side,L3/right,6,0.5,0.4166666666666667,0.0,0.5,0.05157560123906782
