decision,pair_type,layout_id,condition,fixed_value,first_episode,second_episode,first_prediction,second_prediction,first_score,second_score,both_correct,desired_relation,oriented_score_difference
40pct,same_target_color_side_swap,L1,C2,red,2026_08_18_00_49_36_378126_L1_left_C2,2026_08_18_00_46_25_193744_L1_right_C2,red,blue,0.013310454487800593,-0.032412376999855046,0,0,-0.04572283148765564
40pct,same_target_color_side_swap,L3,C0,blue,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_52_54_907596_L3_right_C0,red,blue,0.23492308631539344,-0.019956126511096958,0,0,0.2548792128264904
40pct,same_target_color_side_swap,L3,C1,blue,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_53_23_339528_L3_right_C1,red,blue,0.18225070729851722,-0.005070530921220779,0,0,0.187321238219738
40pct,same_target_color_side_swap,L3,C2,blue,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_53_52_283658_L3_right_C2,red,red,0.3430136513710022,0.04044832512736322,0,1,0.30256532624363897
40pct,same_target_color_side_swap,L3,C0,red,2026_08_18_00_54_32_747715_L3_left_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,red,0.015318274497985833,0.23767750561237333,1,1,0.2223592311143875
40pct,same_target_color_side_swap,L3,C1,red,2026_08_18_00_55_01_843645_L3_left_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,red,0.084411338865757,0.0951122120022774,1,1,0.010700873136520406
40pct,same_target_color_side_swap,L3,C2,red,2026_08_18_00_55_32_860317_L3_left_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,red,0.12914073914289476,0.012097551152110104,1,1,-0.11704318799078466
100pct,same_geometry_side_color_swap,L1,C0,left,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_48_13_457980_L1_left_C0,blue,red,-0.06142950356006622,0.18887799009680747,1,1,0.2503074936568737
100pct,same_geometry_side_color_swap,L1,C1,left,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_49_05_482404_L1_left_C1,red,blue,0.048558303713798504,-0.07508805692195893,0,1,-0.12364636063575743
100pct,same_geometry_side_color_swap,L1,C2,left,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_49_36_378126_L1_left_C2,red,blue,0.02882699668407441,-0.007293438911437994,0,1,-0.0361204355955124
100pct,same_geometry_side_color_swap,L1,C0,right,2026_08_18_00_50_22_202653_L1_right_C0,2026_08_18_00_45_28_073578_L1_right_C0,blue,red,-0.009504230320453645,0.260083881765604,1,1,0.26958811208605765
100pct,same_geometry_side_color_swap,L1,C1,right,2026_08_18_00_50_52_802516_L1_right_C1,2026_08_18_00_45_56_961481_L1_right_C1,blue,red,-0.0699935108423233,0.17810697108507156,1,1,0.24810048192739487
100pct,same_geometry_side_color_swap,L1,C2,right,2026_08_18_00_51_25_610649_L1_right_C2,2026_08_18_00_46_25_193744_L1_right_C2,blue,red,-0.1292088583111763,0.060053677856922144,1,1,0.18926253616809843
100pct,same_geometry_side_color_swap,L3,C0,left,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_54_32_747715_L3_left_C0,red,red,0.21492321342229842,0.10777372121810912,0,0,-0.1071494922041893
100pct,same_geometry_side_color_swap,L3,C1,left,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_55_01_843645_L3_left_C1,red,red,0.2182817734777927,0.13180315047502517,0,0,-0.08647862300276754
100pct,same_geometry_side_color_swap,L3,C2,left,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_55_32_860317_L3_left_C2,red,red,0.40137192904949187,0.17704730257391932,0,0,-0.22432462647557255
100pct,same_geometry_side_color_swap,L3,C0,right,2026_08_18_00_52_54_907596_L3_right_C0,2026_08_18_00_56_19_492037_L3_right_C0,blue,red,-0.13278302550315854,0.48534384891390797,1,1,0.6181268744170665
100pct,same_geometry_side_color_swap,L3,C1,right,2026_08_18_00_53_23_339528_L3_right_C1,2026_08_18_00_56_48_148319_L3_right_C1,blue,red,-0.17776335403323174,0.41596075966954227,1,1,0.593724113702774
100pct,same_geometry_side_color_swap,L3,C2,right,2026_08_18_00_53_52_283658_L3_right_C2,2026_08_18_00_57_15_980084_L3_right_C2,blue,red,-0.08953751772642135,0.15222287327051165,1,1,0.241760390996933
100pct,same_target_color_side_swap,L1,C0,blue,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_50_22_202653_L1_right_C0,blue,blue,-0.06142950356006622,-0.009504230320453645,1,1,-0.051925273239612574
100pct,same_target_color_side_swap,L1,C1,blue,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_50_52_802516_L1_right_C1,red,blue,0.048558303713798504,-0.0699935108423233,0,0,0.1185518145561218
100pct,same_target_color_side_swap,L1,C2,blue,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_51_25_610649_L1_right_C2,red,blue,0.02882699668407441,-0.1292088583111763,0,0,0.1580358549952507
100pct,same_target_color_side_swap,L1,C0,red,2026_08_18_00_48_13_457980_L1_left_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,red,0.18887799009680747,0.260083881765604,1,1,0.07120589166879651
100pct,same_target_color_side_swap,L1,C1,red,2026_08_18_00_49_05_482404_L1_left_C1,2026_08_18_00_45_56_961481_L1_right_C1,blue,red,-0.07508805692195893,0.17810697108507156,0,0,0.2531950280070305
100pct,same_target_color_side_swap,L1,C2,red,2026_08_18_00_49_36_378126_L1_left_C2,2026_08_18_00_46_25_193744_L1_right_C2,blue,red,-0.007293438911437994,0.060053677856922144,0,0,0.06734711676836014
100pct,same_target_color_side_swap,L3,C0,blue,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_52_54_907596_L3_right_C0,red,blue,0.21492321342229842,-0.13278302550315854,0,0,0.34770623892545693
100pct,same_target_color_side_swap,L3,C1,blue,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_53_23_339528_L3_right_C1,red,blue,0.2182817734777927,-0.17776335403323174,0,0,0.39604512751102444
100pct,same_target_color_side_swap,L3,C2,blue,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_53_52_283658_L3_right_C2,red,blue,0.40137192904949187,-0.08953751772642135,0,0,0.4909094467759132
100pct,same_target_color_side_swap,L3,C0,red,2026_08_18_00_54_32_747715_L3_left_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,red,0.10777372121810912,0.48534384891390797,1,1,0.37757012769579884
100pct,same_target_color_side_swap,L3,C1,red,2026_08_18_00_55_01_843645_L3_left_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,red,0.13180315047502517,0.41596075966954227,1,1,0.2841576091945171
100pct,same_target_color_side_swap,L3,C2,red,2026_08_18_00_55_32_860317_L3_left_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,red,0.17704730257391932,0.15222287327051165,1,1,-0.02482442930340767
flat,same_geometry_side_color_swap,L1,C0,left,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_48_13_457980_L1_left_C0,blue,red,-0.007678687945008277,0.023609748762100934,1,1,0.031288436707109214
flat,same_geometry_side_color_swap,L1,C1,left,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_49_05_482404_L1_left_C1,red,blue,0.006069787964224813,-0.009386007115244866,0,1,-0.015455795079469679
flat,same_geometry_side_color_swap,L1,C2,left,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_49_36_378126_L1_left_C2,red,blue,0.002882699668407441,-0.0007293438911437994,0,1,-0.00361204355955124
flat,same_geometry_side_color_swap,L1,C0,right,2026_08_18_00_50_22_202653_L1_right_C0,2026_08_18_00_45_28_073578_L1_right_C0,blue,red,-0.0011880287900567056,0.0325104852207005,1,1,0.033698514010757206
flat,same_geometry_side_color_swap,L1,C1,right,2026_08_18_00_50_52_802516_L1_right_C1,2026_08_18_00_45_56_961481_L1_right_C1,blue,red,-0.008749188855290413,0.022263371385633945,1,1,0.03101256024092436
