episode_id,layout_id,condition,alpha_normalized,alpha_m,target_color,target_side,blue_block_side,red_block_side,instruction,chunk_index,start,stop,executed_steps,progress,num_seeds,energy_blue_mean,energy_red_mean,local_margin_blue_minus_red_mean,local_margin_seed_sd,red_support_rate,mean_sign_seed_agreement,true_target_seed_support_rate,cartesian_x,cartesian_y,cartesian_z,flat_cumulative_margin,flat_cumulative_score,linear_cumulative_score,exponential_cumulative_score
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,2.0,0.1694548757406934,blue,right,right,left,pick up the blue block,4,64,80,16,0.6060606060606061,10,0.22352704852819444,0.2564845412969589,-0.032957492768764494,0.008130716998969568,0.0,1.0,1.0,0.5478929877281189,-0.10410048812627792,0.3017898201942444,-0.06337355226278304,-0.012674710452556609,-0.005114500267165048,0.007465443949417066
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,2.0,0.1694548757406934,blue,right,right,left,pick up the blue block,5,80,96,16,0.7272727272727273,10,0.20055503472685815,0.24574463069438934,-0.04518959596753121,0.005230456487236977,0.0,1.0,1.0,0.5967876315116882,-0.08384949713945389,0.25564685463905334,-0.10856314823031425,-0.01809385803838571,-0.009224766492843628,0.004205026806103004
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,2.0,0.1694548757406934,blue,right,right,left,pick up the blue block,6,96,112,16,0.8484848484848485,10,0.22680272907018661,0.2541502878069878,-0.02734755873680115,0.0036761142772810556,0.0,1.0,1.0,0.6437889337539673,-0.058531664311885834,0.21086159348487854,-0.1359107069671154,-0.019415815281016487,-0.01051925165312631,0.0028645791711294387
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,2.0,0.1694548757406934,blue,right,right,left,pick up the blue block,7,112,128,16,0.9696969696969697,10,0.18389285504817962,0.2037378028035164,-0.01984494775533676,0.005184252266260134,0.0,1.0,1.0,0.6667429208755493,-0.04603579267859459,0.18955957889556885,-0.15575565472245217,-0.019469456840306522,-0.010943146930499512,0.002193713930031422
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,2.0,0.1694548757406934,blue,right,right,left,pick up the blue block,8,128,132,4,1.0,10,0.29428160935640335,0.3162893086671829,-0.02200769931077957,0.004272536896638764,0.0,1.0,1.0,0.6667590141296387,-0.046031128615140915,0.18956328928470612,-0.17776335403323174,-0.019751483781470194,-0.011189025872283513,0.0016920576328446452
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,4.0,0.3389097514813868,blue,right,right,left,pick up the blue block,0,0,16,16,0.10062893081761007,10,0.43268930315971377,0.3232686907052994,0.10942061245441437,0.01646058215490194,1.0,1.0,0.0,0.3686823546886444,-0.02927859127521515,0.48457416892051697,0.10942061245441437,0.10942061245441437,0.10942061245441437,0.10942061245441437
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,4.0,0.3389097514813868,blue,right,right,left,pick up the blue block,1,16,32,16,0.20125786163522014,10,0.28795483708381653,0.2764878734946251,0.011466963589191437,0.009092175343879695,0.9,0.9,0.1,0.38226452469825745,-0.09243295341730118,0.46030721068382263,0.12088757604360581,0.060443788021802905,0.0630215156235193,0.06773570417421561
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,4.0,0.3389097514813868,blue,right,right,left,pick up the blue block,2,32,48,16,0.3018867924528302,10,0.2315468207001686,0.26689073741436004,-0.03534391671419144,0.010141498751257437,0.0,1.0,1.0,0.408988356590271,-0.15106774866580963,0.43517830967903137,0.08554365932941438,0.028514553109804792,0.03387620233827167,0.043028088128632444
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,4.0,0.3389097514813868,blue,right,right,left,pick up the blue block,3,48,64,16,0.4025157232704403,10,0.22080501168966293,0.2670566365122795,-0.04625162482261658,0.010595963039463993,0.0,1.0,1.0,0.44790637493133545,-0.19493751227855682,0.39846518635749817,0.0392920345067978,0.00982300862669945,0.01737929674632409,0.0295652778677555
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,4.0,0.3389097514813868,blue,right,right,left,pick up the blue block,4,64,80,16,0.5031446540880503,10,0.279051685333252,0.31886900663375856,-0.039817321300506595,0.012729928762899752,0.0,1.0,1.0,0.49585556983947754,-0.20765945315361023,0.35108646750450134,-0.0005252867937087929,-0.00010505735874175858,0.008799804039299489,0.022593341855911976
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,4.0,0.3389097514813868,blue,right,right,left,pick up the blue block,5,80,96,16,0.6037735849056604,10,0.28408133238554,0.27371337413787844,0.010367958247661591,0.005162708845354668,1.0,1.0,0.0,0.5433093309402466,-0.18448373675346375,0.3066089451313019,0.009842671453952798,0.0016404452423254663,0.008974043395784167,0.021746320719984235
